scenario_id,risk_level,infection_source,candidate_name,expected_utility,survival_mean,time_to_stability_mean,organ_preservation_mean,adverse_event_rate,chosen_by_rl,chosen_by_baseline
scn_000325,LOW,pulmonary,Aggressive Fluid-First,0.878033980630746,0.9899999999999999,3.5,81.02265375383082,0.0,1,1
scn_000325,LOW,pulmonary,Staged Reassessment,0.8765979717204112,0.9899999999999999,3.5,80.06531448027427,0.0,0,0
scn_000325,LOW,pulmonary,Conservative Fluid + Early Antibiotics,0.8755675023914509,0.9899999999999999,3.5,79.37833492763406,0.0,0,0
scn_000268,CRITICAL,urinary_tract,Dual Vasopressor Strategy,0.46149264182740857,0.28137848748914596,3.0,78.44369955594738,0.0,0,1
scn_000268,CRITICAL,urinary_tract,Early Vasopressor + Fluids,0.45897164399803003,0.28137848748914596,3.0,76.76303433636166,0.0,0,0
scn_000268,CRITICAL,urinary_tract,Colloid-Based Resuscitation,0.45517922381697773,0.27818431676574745,3.0,75.51242250501952,0.0,0,0
scn_000268,CRITICAL,urinary_tract,Conservative Fluid + Early Antibiotics,0.4449996299874289,0.28457265821254457,3.5,74.5040233732681,0.0,0,0
scn_000268,CRITICAL,urinary_tract,Aggressive Fluid-First,0.4430751660729266,0.27818431676574745,3.5,75.77638400898539,0.0,1,0
scn_000025,LOW,skin_soft_tissue,Aggressive Fluid-First,0.887840582895196,0.9899999999999999,3.5,87.56038859679742,0.0,1,1
scn_000025,LOW,skin_soft_tissue,Staged Reassessment,0.8865977263475171,0.9899999999999999,3.5,86.73181756501155,0.0,0,0
scn_000025,LOW,skin_soft_tissue,Conservative Fluid + Early Antibiotics,0.8856615271380157,0.9899999999999999,3.5,86.10768475867724,0.0,0,0
scn_000257,CRITICAL,skin_soft_tissue,Dual Vasopressor Strategy,0.42255473401023375,0.2676343296345449,3.82,71.64942415300453,0.0,0,1
scn_000257,CRITICAL,skin_soft_tissue,Early Vasopressor + Fluids,0.3641134413684052,0.1823187694171838,4.0,69.81478647872991,0.0,0,0
scn_000257,CRITICAL,skin_soft_tissue,Colloid-Based Resuscitation,0.3157031292538952,0.10690562457738606,4.0,67.70650300497572,0.0,0,0
scn_000257,CRITICAL,skin_soft_tissue,Aggressive Fluid-First,0.3110648651014446,0.11858248995175044,4.5,68.27691408692955,0.0,1,0
scn_000257,CRITICAL,skin_soft_tissue,Conservative Fluid + Early Antibiotics,0.2961992452406634,0.09999999999999998,4.5,65.79949682710891,0.0,0,0
scn_000227,CRITICAL,bloodstream,Dual Vasopressor Strategy,0.4625875911550771,0.28878452481579825,3.0,76.21125084373212,0.0,0,1
scn_000227,CRITICAL,bloodstream,Early Vasopressor + Fluids,0.46021563384984987,0.28878452481579825,3.0,74.62994597358063,0.0,0,0
scn_000227,CRITICAL,bloodstream,Colloid-Based Resuscitation,0.454990971015783,0.2856586162680142,3.06,73.39720083664972,0.0,0,0
scn_000227,CRITICAL,bloodstream,Aggressive Fluid-First,0.4437985331559189,0.2856586162680142,3.53,73.76890893007355,0.0,1,0
scn_000227,CRITICAL,bloodstream,Conservative Fluid + Early Antibiotics,0.4340688868899877,0.2919104333635824,3.99,72.44841791455882,0.0,0,0
scn_000063,MODERATE,pulmonary,Aggressive Fluid-First,0.8565291772081478,0.9677336190495219,3.5,75.59267051895645,0.0,1,1
scn_000063,MODERATE,pulmonary,Staged Reassessment,0.8234762779347102,0.9147891193945522,3.5,74.73520419865264,0.0,0,0
scn_000063,MODERATE,pulmonary,Conservative Fluid + Early Antibiotics,0.820600788662964,0.9114553967127564,3.5,74.15170042354015,0.0,0,0
scn_000175,HIGH,pulmonary,Dual Vasopressor Strategy,0.623297828936309,0.5610220976357888,3.01,74.62304690322375,0.0,0,1
scn_000175,HIGH,pulmonary,Early Vasopressor + Fluids,0.6155976941438298,0.5610220976357888,3.22,72.98962370823767,0.0,0,0
scn_000175,HIGH,pulmonary,Colloid-Based Resuscitation,0.5953453763418772,0.5578373055927418,3.88,71.76199532415474,0.0,0,0
scn_000175,HIGH,pulmonary,Aggressive Fluid-First,0.5865203505164818,0.5578373055927418,4.25,72.04531144055778,0.0,1,0
scn_000175,HIGH,pulmonary,Conservative Fluid + Early Antibiotics,0.5785926344774075,0.5582068896788358,4.5,70.77900044673731,0.0,0,0
scn_000053,LOW,pulmonary,Aggressive Fluid-First,0.8900029035770604,0.9899999999999999,3.5,89.00193571804034,0.0,1,1
scn_000053,LOW,pulmonary,Staged Reassessment,0.8887694305048546,0.9899999999999999,3.5,88.17962033656978,0.0,0,0
scn_000053,LOW,pulmonary,Conservative Fluid + Early Antibiotics,0.8878495366114727,0.9899999999999999,3.5,87.56635774098193,0.0,0,0
scn_000474,CRITICAL,pulmonary,Dual Vasopressor Strategy,0.506060356203871,0.3595675385957594,3.0,76.87988869761026,0.0,0,1
